Title,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2020 JAN,4
2020 FEB,4
2020 MAR,4.1
2020 APR,4.1
2020 MAY,4.1
2020 JUN,4.3
2020 JUL,4.6
2020 AUG,4.9
2020 SEP,5.1
2020 OCT,5.1
2020 NOV,5.2
2020 DEC,5.1
2021 JAN,5.1
2021 FEB,4.9
2021 MAR,4.9
2021 APR,4.9
2021 MAY,4.7
2021 JUN,4.6
2021 JUL,4.4
2021 AUG,4.3
2021 SEP,4.2
2021 OCT,4.1
2021 NOV,4
2021 DEC,4
2022 JAN,3.8
2022 FEB,3.7
2022 MAR,3.8
2022 APR,3.8
2022 MAY,3.8
2022 JUN,3.6
2022 JUL,3.5
2022 AUG,3.6
2022 SEP,3.7
2022 OCT,3.7
2022 NOV,3.7
2022 DEC,3.7
